Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Microsoft Azure Fundamentals (AZ-900) Cert Prep by Microsoft Press,"<p>Demonstrate your foundational-level knowledge of cloud services and how Microsoft Azure can provide those services, as you prepare for Microsoft Exam AZ-900. Author, trainer, and industry expert Jim Cheshire guides you through your first steps toward expanding your understanding of cloud services and cloud-based solutions using Microsoft Azure. The Azure Fundamentals certification is for those looking to gain a conceptual understanding of basic cloud concepts, as well as a high-level overview of the services and cloud solutions offered by Microsoft Azure. </p>

<p>This course was created by Microsoft Press and Jim Cheshire. We are pleased to host this training in our library.</p>",Course,2025-07-17 22:55 UTC,N/A,false,N/A,
AI Pair Programming with GitHub Copilot,"<p>The future of programming is all about collaboration—humans working with machines to achieve exciting and unimagined results. AI pair programming, which integrates human- and machine-generated code, is a prime example of a tool that alleviates tedious, menial tasks to let developers focus their attention on higher-level concerns. In this course, instructor Ronnie Sheer shows you how to get the most out of GitHub Copilot, one of the most useful and impactful new tools for streamlining software development with AI.
 </p><p>
Get a comprehensive introduction on how to use Copilot to integrate your coding with the latest AI technology. Ronnie goes over the major features of the application, focusing specifically on Python and JavaScript, and using back-end and front-end Copilot tools. By the end of this course, you’ll be prepared to create data models, implement REST APIs, and write tests, client-side code and templates, HTML, CSS, and more.
</p>",Course,2025-07-18 20:16 UTC,2025-07-18 20:14 UTC,false,N/A,
"Agentic AI Fundamentals: Architectures, Frameworks, and Applications","Looking to dive into the world of agentic AI? The course covers the essential concepts, architectures, and frameworks that form the foundation of autonomous agents. Explore decision-making processes, machine learning techniques, and multi-agent systems and gain practical knowledge to develop and deploy agentic AI solutions. Instructor David Linthicum also addresses the ethical and societal implications of agentic AI, as well as security and robustness considerations. Check out this course to get equipped with the skills and understanding needed to leverage agentic AI in various industries and applications.",Course,2025-12-19 02:04 UTC,N/A,false,N/A,
Microsoft Cloud for Sustainability: ESG and the Future of Business,"<p>According to a recent study, the earth will be operating at 200% of its resource capacity by 2030, which is clearly not sustainable. In this course, Fawad Qureshi shows you how data—particularly better access to data—can be used to address sustainability issues. Fawad begins with an introduction to sustainability concepts, covers the key regulations, and takes you through the different solutions Microsoft Cloud for Sustainability offers to cover your environmental, social, and governance (ESG) needs.</p><p>The course combines video lectures and scenarios to provide an overview of sustainability, sustainable software engineering, and Microsoft sustainability solutions, and shows real-world examples of how organizations can use Microsoft sustainability solutions to achieve their sustainability goals.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-sustainable-tech-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-09-05 06:46 UTC,2024-09-05 06:45 UTC,false,N/A,
Fundamentals of Data Transformation for Data Engineering,"<i>Fundamentals of Data Transformation with pandas and DuckDB SQL</i> presents the most essential concepts and best practices in a clear and concise format that allows students to side-step the noise and complexity. While this course is wide rather than narrow, it was designed to help you understand your options for development and make an informed choice about where to drill down.<p>
<p>Instructor Matt Palmer covers transformation in three separate environments: data transformation in a lake, data transformation in the warehouse, and data transformation in data lake houses.</p>",Course,2025-07-24 18:21 UTC,2025-07-24 18:20 UTC,false,N/A,
Getting Started with Microsoft Azure by Microsoft Press,"<p>If you’re an aspiring or experienced cloud administrator or developer looking to learn more about cloud computing, it’s hard to ignore the power and extensive functionality of industry leader Microsoft Azure. In this course, best-selling author and instructor Jim Cheshire helps you get started with some of the most popular, widely used services and features of Microsoft Azure.</p><p>Develop the foundational skills and technical know-how required to make smart decisions about using the cloud. Explore a variety of different types of cloud services, how to customize your experience in the Azure portal, leverage command-line tools, and more. Along the way, you’ll learn how to create a virtual machine in Azure, build and scale a web app with Azure App Service, manage Azure Storage, and discover the exciting new features offered by Azure Machine Learning and Open AI.</p>",Course,2025-07-14 20:40 UTC,N/A,true,N/A,
Practice Exam 4 for CompTIA CySA+ (CS0-003),"<p>This practice exam is intended to help you prepare for the <b>CompTIA CySA+ (CS0-003)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-comptia-cysa-plus-cs0-003/"" target=""_blank"">Practice Exam 1 for CompTIA CySA+ (CS0-003)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-comptia-cysa-plus-cs0-003"" target=""_blank"">Practice Exam 2 for CompTIA CySA+ (CS0-003)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-comptia-cysa-plus-cs0-003"" target=""_blank"">Practice Exam 3 for CompTIA CySA+ (CS0-003)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.comptia.org/certifications/cybersecurity-analyst"" target=""_blank""><b>CompTIA</b></a>.</p>

<p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2026-01-22 15:00 UTC,N/A,false,N/A,
IT Service Desk: Service Management,"<p>As technology continues to evolve, businesses are presented with both challenges and opportunities. Organizations now have access to all manner of innovative new tools; however, they also need to grapple with their customer's rapidly changing needs. As a leader working at a help desk, support center, or service desk, you must ensure that your service management practices keep up with the times. In this course, instructor Fancy Mills-Knebel details how to implement the latest service management best practices and processes to ensure that your IT services remain customer-focused and process-driven. Learn how to best approach incident management, problem management, and change management, as well as how to assess and improve your current program.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/atlassian-it-service-management-itsm-professional-certificate"" >Professional Certificate</a> from Atlassian.</p>",Course,2025-12-15 06:48 UTC,2025-12-15 06:32 UTC,false,N/A,
Excel with Copilot: AI-Driven Data Analysis,"<p>Excel has always been a powerful tool with remarkable possibilities—if you know how to work with it. The same could be said about leveraging AI in Excel. In this course, analytics author, trainer, and Excel MVP George Mount covers the role of Copilot in automating Excel tasks and the promise of AI-driven data manipulation and analysis.</p>
<p>George shows you how to prepare your data to be compatible with Copilot and set up and reformat tables using Copilot. He then details how to use Copilot to speed up creating formulas and functions, conduct basic data profiling and exploration, and sort and filter data. Plus, he explores the new COPILOT function, which allows you to call AI directly from cell formulas for semantic tasks like summarizing text, classifying content, and generating sample data based on natural language prompts and grid references. Tune in to build  your understanding of the evolving AI landscape in Excel and embrace continuous learning for AI technologies.</p> <p>This course is part of these Professional Certificates from Microsoft:</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-sales-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Generative AI for Sales with Microsoft 365 Copilot Professional Certificate</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-marketing-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Generative AI for Marketing with Microsoft 365 Copilot Professional Certificate</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/build-your-generative-ai-productivity-skills-with-microsoft-and-linkedin"" target=""_blank"">Build Your Generative AI Productivity Skills with Microsoft and LinkedIn</a></li>
</ul>",Course,2025-12-15 05:23 UTC,2025-12-15 05:21 UTC,false,N/A,
An Introduction to AI and Sustainability,"<p>Humanity is at a pivotal moment. To avert the worst impacts of climate change and biodiversity loss, society must transform away from our carbon-intensive and resource-depleting growth–at an unprecedented scale and pace. In this course, Amy Luers, Senior Global Director for Sustainability Science and Innovation at Microsoft, explains how artificial intelligence can help achieve the scale and pace of changes needed to meet global sustainability targets like net zero emissions while protecting and restoring nature. She outlines the opportunities and challenges of leveraging AI tools for accelerating sustainability progress, and what is needed to fully leverage their potential. Learn how AI can help reduce carbon emissions, expand access to renewable energy, reduce waste, and enhance the ability to protect biodiversity. Plus, learn how to ensure that AI is responsibly developed and deployed so that it can empower every person and organization to accelerate their sustainability progress. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-sustainable-tech-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-09-05 08:05 UTC,2024-09-05 08:05 UTC,false,N/A,
Azure AI for Developers: LLMs and SLMs,"As an Azure developer, it’s important to stay up to date with the latest technological advancements in your field. In this course, instructor Sam Nasr covers the fundamental concepts of small language models (SLMs) and large language models (LLMs), equipping you with the core skills required to leverage the power of AI. Explore the key differences between each model, how they work, and when it's appropriate to use each and why. Along the way, Sam also covers best practices for improving efficiency and shows you how to avoid common mistakes.",Course,N/A,N/A,true,N/A,
Practical GitHub Actions,"<p>For developer professionals, solving problems is a vital part of the job—particularly solving problems that keep coming up. GitHub Actions will let you automate your repetitive problems away, and in this course—created in partnership with GitHub—Ray Villalobos shows you how to set them up to tackle real-world projects. Ray starts with the basics of Actions, going over what you can do with them and how they work. He then shows you the steps necessary to publish a marketplace action, including creating a workflow, a generator repo Dockerfile, entry point, and action.yml file. Finally, Ray takes you through testing and releasing your GitHub Action.
</p><p>If you’re a developer looking to advance your career, or a recent computer science grad searching for a developer role, check out this course to learn practical skills to add your portfolio and enhance your standing in a competitive job market.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-github-professional-certificate"">Professional Certificate</a> from GitHub.</p>",Course,2025-07-17 22:52 UTC,N/A,false,N/A,
Copilot in Word: Create and Refine Documents with AI,"Discover the power of AI in Microsoft Word with Copilot, your new writing assistant. Leverage Copilot to create new documents, refine existing ones, and distill key points from complex material. This course provides a wide range of prompt examples you can use to inspire and improve your writing, and better understand long or complex documents.",Course,2025-12-15 04:51 UTC,2025-12-15 04:51 UTC,false,N/A,
Getting Started with Python Object Oriented Programming: A Hands-On Approach,"<p>Are you looking to get started with Python object-oriented programming, but not sure where to begin? This course covers everything you need to know to begin object-oriented programming with Python. Join instructor Robin Andrews as he covers some of the basic concepts and terminology of Python OOP, including how to work with Python objects and properties and methods of user-defined classes, before diving into more advanced topics like encapsulation with getters and setters, class inheritance, polymorphism, and more.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time-all while using a tool that you'll likely encounter in the workplace. Check out the ""Using GitHub Codespaces with this course"" video to learn how to get started.</p>",Course,2026-01-07 19:10 UTC,2026-01-07 19:08 UTC,false,N/A,
Learning SQL Programming,"<p>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-engineering-foundations-professional-certificate-by-astronomer"" target=""_blank"">Professional Certificate</a> from Astronomer.</p>",Course,2024-05-19 03:14 UTC,N/A,true,N/A,
Programming Concepts for Python,"Understanding core programming concepts and why they are used is just as important as knowing how to write code. New programmers need to learn to bridge the gap and to connect the theory to practice. In this course, Barron Stone and Olivia Chui Stone illustrate programming concepts in Python by relating them to real-life objects, actions, and scenarios. Each video focuses on a different analogy that demonstrates the concepts in code. Join Barron and Olivia as they take you through a typical Saturday and use regular tasks and errands—and even ordering pizza—to explain functions, objects, queues, sets, loops, and other programming constructs.",Course,2025-07-06 22:04 UTC,2025-07-06 22:02 UTC,false,N/A,
Advanced LLMs with Retrieval Augmented Generation (RAG): Practical Projects for AI Applications,"Are you an engineer, solutions architect, or software developer tasked with building enterprise applications? It’s time to get up to speed with the latest AI-powered tools and techniques—in this case, retrieval-augmented generation (RAG). In this course, designed by leading technology educator Pragmatic AI Labs, join instructor Guy Ernest as he outlines the foundational and advanced concepts required to leverage RAG for large language models, including text encoding using embedded vectors, document chunking with enrichment strategies, improving document retrieval, and more. By the end of this course, you’ll be equipped with the skills you need to take advantage of the power of RAG.",Course,2025-12-23 16:53 UTC,N/A,false,N/A,
C Programming for Embedded Applications,"<p>From medical devices to a car’s dashboard to a video game controller, embedded systems are all around us. Learning to write embedded software in C will help you deliver applications that are small, efficient, and fast. </p>
<p>
In this course, instructor Eduardo Corpeño explains how C programming and the Internet of Things combine in embedded applications—software that permanently resides on a device—and demonstrates the challenges unique to this type of programming, ranging from memory, storage, and power limitations to hardware awareness.",Course,2025-08-05 22:26 UTC,N/A,true,N/A,
Built-in Machine Learning in the Wolfram Language,"<p>You can apply machine learning to diverse subject areas without expert-level knowledge with the help of Wolfram Language. While you can build complicated models from scratch, you can also use any of the existing, pre-trained models on different inputs like text, numbers, and images. This course provides an introduction to the many machine learning functions available for such wide-ranging tasks as image identification, text recognition, sentiment classification and others. Explore the automated machine learning capabilities of Wolfram Language through examples, and learn to execute simple machine learning tasks on different types of inputs, use both named and custom-trained models to perform classification tasks, and apply machine learning to computer vision, text, and natural language processing tasks. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/machine-learning-statistical-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,N/A,N/A,true,N/A,
Super Connecting: The Secret of Professional Networking,"Most networking advice you hear hasn’t been updated for our modern, social, interconnected world. In this course, networking expert JaMarr Johnson teaches you how to stop simply networking and become a super connecter. JaMarr explains how to determine which platforms complement your capabilities and lead to more connections, and how to follow up effectively. He goes over how to tap into causes you’re passionate about to expand your network and how to be interested, not just interesting. JaMarr discusses the connector mindset, including the “Blue Ocean” method and spending more time on personal growth that is challenging but doable. He shows you how to use empathy, humor, speaking skills, and empowering others to build your super connector super skills. JaMarr concludes by describing some super actions that boost your super connector skills, such as mentoring and joining digital groups.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2025-12-15 05:45 UTC,N/A,true,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2026-01-07 21:06 UTC,2026-01-07 21:03 UTC,true,N/A,
Building AI-Ready Applications with Azure Databases and AI,"In this course, explore how to build AI-ready applications using the robust data and AI services in Azure. From data preparation to interacting with language models, instructor Muazma Zahid covers essential topics for creating intelligent solutions. Muazma delves into advanced techniques such as retrieval-augmented generation (RAG) and shows you how to harness the power of large language models (LLMs) to enhance your applications.",Course,2025-07-14 20:38 UTC,2025-07-14 20:37 UTC,false,N/A,
Docker: Your First Project,"<p>Docker has a steep learning curve, but is required for most current development environments. Streamlining how you build, share, and run applications can increase your development team’s productivity and let developers focus on the code. This course with instructor Shelley Benhoff provides a step-by-step guide for developers to work with Docker locally. Join Shelley as she takes you through a real-world project and learn how to set up your development environment, write a Dockerfile, build and manage custom images, and run your Docker containers.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/docker-foundations-professional-certificate"" target=""_blank"">Professional Certificate</a> from Docker.</p>",Course,2025-07-19 23:27 UTC,2025-07-19 23:14 UTC,false,N/A,
Quality Management Foundations,"<p>A company's success is largely determined by how well its employees understand and manage quality in their daily activities. In this course, instructor Steven Brown defines quality from a business perspective and covers major quality frameworks, tools, and strategies that you can leverage to more effectively manage quality in your company. Learn how to differentiate between the different ways quality is defined within your organization and your supply chain. Explore the key characteristics of major quality management frameworks, how several important quality tools help to improve performance, and how each of the three major quality strategies can contribute to a company's long-term success. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/operations-management-professional-certificate-by-jack-welch-management-institute"" target=""_blank"">Professional Certificate</a> from Jack Welch Management Institute.</p>",Course,2024-02-16 01:44 UTC,N/A,false,N/A,
Introducing Daily,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeVideo:60347605,Video (3rd Party Provider),2025-07-06 01:15 UTC,2025-07-06 01:15 UTC,false,N/A,
Get started with the Bot Framework Composer,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64112786,Article (3rd Party Provider),2025-07-15 06:09 UTC,2025-07-15 06:09 UTC,false,N/A,
Consider authentication,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64317176,Article (3rd Party Provider),2025-07-14 17:09 UTC,2025-07-14 17:09 UTC,false,N/A,
Change management glossary,This is a glossary of terms about change management.,Article (3rd Party Provider),2025-12-15 07:35 UTC,2025-12-15 07:35 UTC,false,N/A,
Assess generative AI outcomes to measure ROI,"Understanding and quantifying ROI is crucial for justifying investments in generative AI and guiding future decision-making and resource allocation. At the end of this video, you will be able to identify and define important performance metrics, and accurately evaluate ROI.",Video (3rd Party Provider),2025-07-15 06:23 UTC,N/A,false,N/A,
Key terms,Glossary of key terms,Article (3rd Party Provider),2025-12-15 06:51 UTC,2025-12-15 06:51 UTC,false,N/A,
Crafting a marketing prompt,"When it comes to using generative AI tools for marketing creativity, you need to know how to frame your request in a language a machine understands. After watching the video, you will be able to identify key elements to include in a marketing prompt.",Video (3rd Party Provider),2025-07-11 04:25 UTC,N/A,false,N/A,
Detect language,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64113805,Article (3rd Party Provider),2025-07-15 18:58 UTC,2025-07-15 18:58 UTC,false,N/A,
Preview and review: Primary terms and concepts,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:80333047,Article (3rd Party Provider),2025-07-05 21:27 UTC,2025-07-05 21:27 UTC,false,N/A,
Analyze sentiment,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64113803,Article (3rd Party Provider),2025-07-15 18:59 UTC,2025-07-15 18:59 UTC,false,N/A,
"Understand language detection, translation, and transliteration",CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64315784,Article (3rd Party Provider),2025-07-15 06:06 UTC,2025-07-15 06:06 UTC,false,N/A,
Understand language detection,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64113809,Article (3rd Party Provider),2025-07-15 19:00 UTC,2025-07-15 19:00 UTC,false,N/A,
Use AI to create a daily schedule,"After watching this video, you will be able to use ChatGPT to create your own daily schedule to be productive at work while being intentional about personal commitments as well.

When you focus on time management, you can ensure that you're recharging in the way you need.",Video (3rd Party Provider),2025-07-11 04:25 UTC,N/A,false,N/A,
Understand AI-related terms,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64114182,Article (3rd Party Provider),2025-07-14 16:48 UTC,2025-07-14 16:48 UTC,false,N/A,
Understand capabilities of the Azure Bot Service,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64113176,Article (3rd Party Provider),2025-07-14 16:58 UTC,2025-07-14 16:58 UTC,false,N/A,
Provision an Azure AI Translator resource,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64114829,Article (3rd Party Provider),2025-07-15 18:59 UTC,2025-07-15 18:59 UTC,false,N/A,
Extract key phrases,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64111838,Article (3rd Party Provider),2025-07-15 18:59 UTC,2025-07-15 18:59 UTC,false,N/A,
Setting impactful career goals through key questions,Uncover the six big questions to ask yourself to figure out where to focus your engagement efforts. ,Video (3rd Party Provider),2025-07-11 04:25 UTC,N/A,false,N/A,
Change management tips: Let your team participate,Set your team on a mission that builds connection as a side effect. Building solutions together by using genuine participation is critical when changing the culture of a team from one that connects in person to one that connects virtually.,Video (3rd Party Provider),2025-07-08 05:29 UTC,N/A,false,N/A,
Monitor cost,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64113224,Article (3rd Party Provider),2025-07-14 17:14 UTC,2025-07-14 17:14 UTC,false,N/A,
Introduction,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64111840,Article (3rd Party Provider),2025-07-15 18:55 UTC,2025-07-15 18:55 UTC,false,N/A,
How to rank short-form videos in a search,"After watching this video, you will be able to identify the best strategies for ranking short-form videos in a search. This can be great for creative entrepreneurs looking to reach an audience who are in the midst of searching for something online.",Video (3rd Party Provider),2025-07-11 06:03 UTC,N/A,false,N/A,
Create alerts,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64113223,Article (3rd Party Provider),2025-07-14 17:18 UTC,2025-07-14 17:18 UTC,false,N/A,
Introduction,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64111846,Article (3rd Party Provider),2025-07-15 18:59 UTC,2025-07-15 18:59 UTC,false,N/A,
Course coverage and prerequisites,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79311432,Article (3rd Party Provider),2025-12-15 05:10 UTC,2025-12-15 05:10 UTC,false,N/A,
Extract entities,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64112816,Article (3rd Party Provider),2025-07-15 18:59 UTC,2025-07-15 18:59 UTC,false,N/A,
Next step resources,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:71905746,Article (3rd Party Provider),2025-07-18 20:14 UTC,2025-07-18 20:14 UTC,false,N/A,
Define custom translations,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64393184,Article (3rd Party Provider),2025-07-15 19:00 UTC,2025-07-15 19:00 UTC,false,N/A,
Introduction,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64112225,Article (3rd Party Provider),2025-07-14 17:09 UTC,2025-07-14 17:09 UTC,false,N/A,
Identify endpoints and keys,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64112220,Article (3rd Party Provider),2025-07-14 17:05 UTC,2025-07-14 17:05 UTC,false,N/A,
Use Azure AI services containers,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64114243,Article (3rd Party Provider),2025-07-14 17:29 UTC,2025-07-14 17:29 UTC,false,N/A,
Provision an Azure AI Services resource,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64111252,Article (3rd Party Provider),2025-07-14 17:03 UTC,2025-07-14 17:03 UTC,false,N/A,
Use an SDK,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64111253,Article (3rd Party Provider),2025-07-14 17:07 UTC,2025-07-14 17:07 UTC,false,N/A,
Implement activity handlers and dialogs,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64114245,Article (3rd Party Provider),2025-07-14 17:50 UTC,2025-07-14 17:50 UTC,false,N/A,
Introduction,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64111259,Article (3rd Party Provider),2025-07-14 17:13 UTC,2025-07-14 17:13 UTC,false,N/A,
Deploy a bot,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64112234,Article (3rd Party Provider),2025-07-15 06:00 UTC,2025-07-15 06:00 UTC,false,N/A,
Introduction,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64112230,Article (3rd Party Provider),2025-07-14 17:26 UTC,2025-07-14 17:26 UTC,false,N/A,
Distinguishing between dashboards and reports in Power BI,"In this video, discover what dashboards and reports look like. When people see an illustration of a final dashboard, it provides key context to the process of progressively building one.",Video (3rd Party Provider),2025-07-11 06:03 UTC,N/A,false,N/A,
Get started with the Bot Framework SDK,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64112233,Article (3rd Party Provider),2025-07-14 17:46 UTC,2025-07-14 17:46 UTC,false,N/A,
Use a REST API,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64315182,Article (3rd Party Provider),2025-07-14 17:06 UTC,2025-07-14 17:06 UTC,false,N/A,
Introduce principles of bot design,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64112232,Article (3rd Party Provider),2025-07-14 17:39 UTC,2025-07-14 17:39 UTC,false,N/A,
Introduction,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64315183,Article (3rd Party Provider),2025-07-14 17:01 UTC,2025-07-14 17:01 UTC,false,N/A,
Managing the business of learning,"By treating L&D as a business, learning leaders can take a disciplined approach to planning, executing, governing and measuring the impact of L&D priorities, as well as managing financial and technical processes, and enhancing their team's effectiveness. After watching this video, you will be able to explain what it means to manage L&D as a business and outline the benefits to your team and the organization.",Video (3rd Party Provider),2025-07-11 06:03 UTC,2025-07-11 06:02 UTC,false,N/A,
Understand considerations for responsible AI,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64317124,Article (3rd Party Provider),2025-07-14 16:53 UTC,2025-07-14 16:53 UTC,false,N/A,
Understand capabilities of Azure AI Services,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64317125,Article (3rd Party Provider),2025-07-14 16:57 UTC,2025-07-14 16:57 UTC,false,N/A,
Understand adaptive flow,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64316820,Article (3rd Party Provider),2025-07-15 06:16 UTC,2025-07-15 06:16 UTC,false,N/A,
Prompting best practices for Excel Copilot,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:83964002,Article (3rd Party Provider),2025-12-15 04:24 UTC,2025-12-15 04:24 UTC,false,N/A,
What to know before starting this course,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:83551480,Article (3rd Party Provider),2025-12-15 04:24 UTC,2025-12-15 04:24 UTC,false,N/A,
Course introduction,Introduction,Article (3rd Party Provider),2025-07-14 16:45 UTC,2025-07-14 16:45 UTC,false,N/A,
Introduction,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64110782,Article (3rd Party Provider),2025-07-15 06:05 UTC,2025-07-15 06:05 UTC,false,N/A,
Specify translation options,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64113810,Article (3rd Party Provider),2025-07-15 19:00 UTC,2025-07-15 19:00 UTC,false,N/A,
Limitations in creativity and capabilities,"Generative AI algorithms require an incredible amount of sophisticated training data on input. Yet, GANs cannot create entirely new images or texts. In their current state, they can only generate assets upon which they already know. This can run contrary to many people's expectations of their capabilities. After watching this video, learners will be able to list the main limitations of generative AI with regard to training data. ",Video (3rd Party Provider),2025-07-06 01:15 UTC,N/A,false,N/A,
Provision an Azure AI Language resource,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64317795,Article (3rd Party Provider),2025-07-15 18:57 UTC,2025-07-15 18:57 UTC,false,N/A,
Manage diagnostic logging,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64114229,Article (3rd Party Provider),2025-07-14 17:23 UTC,2025-07-14 17:23 UTC,false,N/A,
Design the user experience,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:64113778,Article (3rd Party Provider),2025-07-15 06:18 UTC,2025-07-15 06:18 UTC,false,N/A,
Shifting focus to value delivery management for project professionals,"In this video, learn how to illustrate scope management focus vs. value delivery management focus. When people know the benefits of focusing project managers on value delivery, they are motivated to support this transition.",Video (3rd Party Provider),2025-07-11 06:03 UTC,N/A,false,N/A,
DP-203 Objective Domain Changes,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:67882075,Article (3rd Party Provider),2025-07-11 02:28 UTC,2025-07-11 02:28 UTC,false,N/A,
Introduction,,Article (3rd Party Provider),2025-07-14 17:36 UTC,2025-07-14 17:36 UTC,false,N/A,
